,Country,City,Date,Active Cases,Daily New Cases,Daily New Deaths,Newly Recovered,PM2.5,PM10,O3,NO2,SO2,CO
0,Spain,Madrid,15-02-2020,0,null,0,0,79,34,20,26,2,0
1,Spain,Madrid,16-02-2020,0,0,0,0,80,28,24,24,2,0
2,Spain,Madrid,17-02-2020,0,0,0,0,73,21,14,23,2,0
3,Spain,Madrid,18-02-2020,0,0,0,0,57,17,19,25,3,0
4,Spain,Madrid,19-02-2020,0,0,0,0,44,21,26,29,3,0
5,Spain,Madrid,20-02-2020,0,0,0,0,43,33,13,41,4,0
6,Spain,Madrid,21-02-2020,0,0,0,0,67,30,23,41,4,0
7,Spain,Madrid,22-02-2020,0,0,0,0,59,34,23,43,4,0
8,Spain,Madrid,23-02-2020,0,0,0,0,68,30,30,34,3,0
9,Spain,Madrid,24-02-2020,1,1,0,0,56,33,27,39,3,0
10,Spain,Madrid,25-02-2020,7,6,0,0,62,31,27,36,3,0
11,Spain,Madrid,26-02-2020,11,4,0,0,62,15,30,19,1,0
12,Spain,Madrid,27-02-2020,23,12,0,0,30,65,27,22,2,0
13,Spain,Madrid,28-02-2020,31,8,0,0,72,65,24,32,3,0
14,Spain,Madrid,29-02-2020,56,25,0,0,88,47,26,18,2,0
15,Spain,Madrid,01-03-2020,82,26,0,0,64,28,27,10,2,0
16,Spain,Madrid,02-03-2020,118,36,0,0,29,26,30,13,2,0
17,Spain,Madrid,03-03-2020,162,45,1,0,25,17,21,21,1,0
18,Spain,Madrid,04-03-2020,224,63,1,0,47,14,24,17,2,0
19,Spain,Madrid,05-03-2020,276,54,1,1,38,15,33,17,2,0
20,Spain,Madrid,06-03-2020,387,119,5,3,38,9,32,17,2,0
21,Spain,Madrid,07-03-2020,485,124,2,24,23,13,31,21,2,0
22,Spain,Madrid,08-03-2020,625,149,7,2,32,16,25,22,3,0
23,Spain,Madrid,09-03-2020,1169,557,13,0,48,14,30,24,3,0
24,Spain,Madrid,10-03-2020,1524,464,6,103,37,13,26,17,3,0
25,Spain,Madrid,11-03-2020,2039,582,19,48,36,32,20,28,3,0
26,Spain,Madrid,12-03-2020,2871,869,31,6,59,36,21,34,3,0
27,Spain,Madrid,13-03-2020,4906,2086,47,4,64,29,31,26,2,0
28,Spain,Madrid,14-03-2020,5678,1159,63,324,64,21,38,13,2,0
29,Spain,Madrid,15-03-2020,7177,1597,98,0,60,20,32,11,2,0
